Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2019,December,2 Eastern, Knox,"8,785","5,384.8", KNOX,Knox
2019,December,2 Eastern, Latrobe,"10,100","13,284.9", LATROBE,Latrobe
2019,December,2 Eastern, Manningham,"3,822","3,015.4", MANNINGHAM,Manningham
2019,December,2 Eastern, Mansfield,315,"3,350.4", MANSFIELD,Mansfield
2019,December,2 Eastern, Maroondah,"5,997","5,088.7", MAROONDAH,Maroondah
2019,December,2 Eastern, Mitchell,"3,140","6,780.7", MITCHELL,Mitchell
2019,December,2 Eastern, Moira,"1,938","6,447.3", MOIRA,Moira
2019,December,2 Eastern, Monash,"9,071","4,543.3", MONASH,Monash
2019,December,2 Eastern, Murrindindi,603,"4,096.7", MURRINDINDI,Murrindindi
2019,December,2 Eastern, South Gippsland,"1,312","4,389.9", SOUTH GIPPSLAND,South Gippsland
2019,December,2 Eastern, Strathbogie,447,"4,103.2", STRATHBOGIE,Strathbogie
2019,December,2 Eastern, Towong,149,"2,429.1", TOWONG,Towong
2019,December,2 Eastern, Wangaratta,"1,762","5,992.6", WANGARATTA,Wangaratta
2019,December,2 Eastern, Wellington,"3,274","7,337.5", WELLINGTON,Wellington
2019,December,2 Eastern, Whitehorse,"7,269","4,136.3", WHITEHORSE,Whitehorse
2019,December,2 Eastern, Wodonga,"2,794","6,647.9", WODONGA,Wodonga
2019,December,2 Eastern, Yarra Ranges,"6,161","3,885.0", YARRA RANGES,Yarra Ranges
2019,December,2 Eastern,Total,"90,369","5,281.3",TOTAL,Total
2019,December,3 Southern Metro, Bayside,"4,013","3,820.8", BAYSIDE,Bayside
2019,December,3 Southern Metro, Cardinia,"5,257","4,699.7", CARDINIA,Cardinia
2019,December,3 Southern Metro, Casey,"16,635","4,731.4", CASEY,Casey
2019,December,3 Southern Metro, Frankston,"11,034","7,780.3", FRANKSTON,Frankston
2019,December,3 Southern Metro, Glen Eira,"5,699","3,705.3", GLEN EIRA,Glen Eira
2019,December,3 Southern Metro, Greater Dandenong,"14,689","8,839.7", GREATER DANDENONG,Greater Dandenong
2019,December,3 Southern Metro, Kingston,"8,917","5,469.8", KINGSTON,Kingston
2019,December,3 Southern Metro, Mornington Peninsula,"8,657","5,140.9", MORNINGTON PENINSULA,Mornington Peninsula
2019,December,3 Southern Metro, Port Phillip,"9,779","8,753.9", PORT PHILLIP,Port Phillip
2019,December,3 Southern Metro, Stonnington,"9,055","7,961.2", STONNINGTON,Stonnington
2019,December,3 Southern Metro,Total,"93,735","5,905.9",TOTAL,Total
2019,December,4 Western, Ararat,853,"7,215.4", ARARAT,Ararat
2019,December,4 Western, Ballarat,"8,927","8,141.4", BALLARAT,Ballarat
